customer_id,invoice_id,age,gender,location,industry,business_type,years_with_company,income_revenue,credit_score,credit_limit,outstanding_balance,debt_ratio,invoice_amount,invoice_date,due_date,payment_date,payment_delay,invoice_month,invoice_year,hist_paid_ratio,hist_late_ratio,avg_delay,max_delay,payment_volatility,delay_trend,streak,payment_count_so_far,credit_utilization,overdue_days_normalized,risk_composite,days_since_last_payment,is_bad_payer,is_late_invoice,invoice_frequency,industry_risk_factor,seasonal_factor,amount_normalized,credit_score_normalized,customer_age_normalized,customer_age_months
CUST-000001,INV-CUST-000001-0001,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,135244.04,2022-01-01,2022-01-16,2022-01-07,-9.0,1,2022,1.0,0.0,-9.0,-9,0.0,0.0,1,1,0.0736,0.0,0.0968,0,1,0,1.0441,0.3,1.1,0.011304,0.654545,0.604027,108
CUST-000001,INV-CUST-000001-0002,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,333176.04,2022-01-22,2022-02-21,2022-02-11,-10.0,1,2022,1.0,0.0,-9.5,-9,0.5,0.0,2,2,0.0736,0.0,0.0968,21,1,0,1.0441,0.3,1.1,0.027873,0.654545,0.604027,108
CUST-000001,INV-CUST-000001-0004,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,242785.79,2022-02-15,2022-03-17,2022-03-17,0.0,2,2022,0.75,0.25,1.75,26,14.5323,0.0,1,4,0.0736,0.0,0.1968,5,1,0,1.0441,0.3,1.1732,0.020307,0.654545,0.604027,108
CUST-000001,INV-CUST-000001-0003,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,374849.47,2022-03-12,2022-05-11,2022-06-06,26.0,3,2022,0.6667,0.3333,2.3333,26,16.7398,0.0,-1,3,0.0736,0.2889,0.2301,50,1,1,1.0441,0.3,1.2,0.031362,0.654545,0.604027,108
CUST-000001,INV-CUST-000001-0005,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,289795.85,2022-03-26,2022-05-10,2022-09-27,140.0,3,2022,0.6,0.4,29.4,140,56.807,30.8,-1,5,0.0736,1.5556,0.2568,24,1,1,1.0441,0.3,1.2,0.024242,0.654545,0.604027,108
CUST-000001,INV-CUST-000001-0006,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,395927.09,2022-05-11,2022-06-25,2022-06-16,-9.0,5,2022,0.6667,0.3333,23.0,140,53.7959,11.6,1,6,0.0736,0.0,0.2301,50,1,0,1.0441,0.3,1.1,0.033126,0.654545,0.604027,108
CUST-000001,INV-CUST-000001-0008,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,128375.62,2022-06-18,2022-08-02,2022-07-25,-8.0,6,2022,0.625,0.375,16.5,140,47.9948,-15.4,1,8,0.0736,0.0,0.2468,48,1,0,1.0441,0.3,1.0,0.010729,0.654545,0.604027,108
CUST-000001,INV-CUST-000001-0009,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,406235.32,2022-06-26,2022-08-10,2022-08-07,-3.0,6,2022,0.6667,0.3333,14.3333,140,45.663,-28.5,2,9,0.0736,0.0,0.2301,36,1,0,1.0441,0.3,1.0,0.033989,0.654545,0.604027,108
CUST-000001,INV-CUST-000001-0007,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,125586.55,2022-07-12,2022-07-27,2022-07-29,2.0,7,2022,0.5714,0.4286,20.0,140,50.3445,-5.7,-1,7,0.0736,0.0222,0.2682,92,1,1,1.0441,0.3,0.9,0.010496,0.654545,0.604027,108
CUST-000001,INV-CUST-000001-0014,9,Male,Cairo,Real Estate,B2B,9.0,1848845.27,660,49162.86,3618.67,0.198,165865.64,2022-07-28,2022-09-11,2022-09-03,-8.0,7,2022,0.6429,0.3571,12.0714,140,40.4271,-1.9,2,14,0.0736,0.0,0.2396,-32,1,0,1.0441,0.3,0.9,0.013868,0.654545,0.604027,108
